top - 21:02:22 up 15 days,  5:05,  6 users,  load average: 0.87, 0.76, 0.44
Tasks: 355 total,   2 running, 353 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  98996304 total, 22576420 used, 76419888 free,   259488 buffers
KiB Swap: 29296636 total,        0 used, 29296636 free. 20430240 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  148 root      rt   0       0      0      0 S   0.0  0.0   0:00.25 migration/15
  149 root      20   0       0      0      0 S   0.0  0.0   0:55.80 ksoftirqd/15
  151 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/15:0H
  152 root      rt   0       0      0      0 S   0.0  0.0   0:03.46 watchdog/16
  153 root      rt   0       0      0      0 S   0.0  0.0   0:00.11 migration/16
  154 root      20   0       0      0      0 S   0.0  0.0   1:50.56 ksoftirqd/16
  156 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/16:0H
  157 root      rt   0       0      0      0 S   0.0  0.0   0:03.47 watchdog/17
  158 root      rt   0       0      0      0 S   0.0  0.0   0:00.54 migration/17
  159 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ksoftirqd/17
  161 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/17:0H
  162 root      rt   0       0      0      0 S   0.0  0.0   0:03.48 watchdog/18
  163 root      rt   0       0      0      0 S   0.0  0.0   0:00.09 migration/18
  164 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ksoftirqd/18
  165 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/18:0
  166 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/18:0H
  167 root      rt   0       0      0      0 S   0.0  0.0   0:03.45 watchdog/19
  168 root      rt   0       0      0      0 S   0.0  0.0   0:00.40 migration/19
  169 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ksoftirqd/19
  171 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/19:0H
  172 root      rt   0       0      0      0 S   0.0  0.0   0:03.57 watchdog/20
  173 root      rt   0       0      0      0 S   0.0  0.0   0:00.08 migration/20
  174 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ksoftirqd/20
  176 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/20:0H
  177 root      rt   0       0      0      0 S   0.0  0.0   0:03.12 watchdog/21
  178 root      rt   0       0      0      0 S   0.0  0.0   0:00.09 migration/21
  179 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ksoftirqd/21
  181 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/21:0H
  182 root      rt   0       0      0      0 S   0.0  0.0   0:03.47 watchdog/22
  183 root      rt   0       0      0      0 S   0.0  0.0   0:00.10 migration/22
  184 root      20   0       0      0      0 S   0.0  0.0   0:01.09 ksoftirqd/22
  185 root      20   0       0      0      0 S   0.0  0.0   0:05.83 kworker/22:0
  186 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/22:0H
  187 root      rt   0       0      0      0 S   0.0  0.0   0:03.50 watchdog/23
  188 root      rt   0       0      0      0 S   0.0  0.0   0:00.10 migration/23
  189 root      20   0       0      0      0 S   0.0  0.0   0:00.93 ksoftirqd/23
