Location,Test,timestamp,Deployment,Command,Tps
Remote,basic,20160513_20-22,kvmNetworkDefault,"LRANGE_300 (first 300 elements)","15035.33"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LRANGE_500 (first 450 elements)","12531.33"
Remote,basic,20160513_20-22,kvmNetworkDefault,"LRANGE_600 (first 600 elements)","9814.51"
Remote,basic,20160513_20-22,kvmNetworkDefault,"MSET (10 keys)","55248.62"
Remote,basic,20160513_20-22,lxcBridgeBr0,"PING_INLINE","66006.60"
Remote,basic,20160513_20-22,lxcBridgeBr0,"PING_BULK","71377.59"
Remote,basic,20160513_20-22,lxcBridgeBr0,"SET","62305.30"
Remote,basic,20160513_20-22,lxcBridgeBr0,"GET","70126.23"
Remote,basic,20160513_20-22,lxcBridgeBr0,"INCR","72939.46"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LPUSH","71581.96"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LPOP","71428.57"
Remote,basic,20160513_20-22,lxcBridgeBr0,"SADD","72780.20"
Remote,basic,20160513_20-22,lxcBridgeBr0,"SPOP","71736.01"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LPUSH (needed to benchmark LRANGE)","72568.94"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_100 (first 100 elements)","42372.88"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_300 (first 300 elements)","16450.07"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_500 (first 450 elements)","12431.63"
Remote,basic,20160513_20-22,lxcBridgeBr0,"LRANGE_600 (first 600 elements)","10258.51"
Remote,basic,20160513_20-22,lxcBridgeBr0,"MSET (10 keys)","55959.71"
Remote,basic,20160513_20-22,lxcNetworkDefault,"PING_INLINE","58616.65"
Remote,basic,20160513_20-22,lxcNetworkDefault,"PING_BULK","53619.30"
Remote,basic,20160513_20-22,lxcNetworkDefault,"SET","49164.21"
Remote,basic,20160513_20-22,lxcNetworkDefault,"GET","49019.61"
Remote,basic,20160513_20-22,lxcNetworkDefault,"INCR","50025.02"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LPUSH","51308.36"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LPOP","51493.30"
Remote,basic,20160513_20-22,lxcNetworkDefault,"SADD","51546.39"
Remote,basic,20160513_20-22,lxcNetworkDefault,"SPOP","54171.18"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LPUSH (needed to benchmark LRANGE)","50787.20"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_100 (first 100 elements)","39541.32"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_300 (first 300 elements)","16849.20"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_500 (first 450 elements)","12879.96"
Remote,basic,20160513_20-22,lxcNetworkDefault,"LRANGE_600 (first 600 elements)","10250.10"
Remote,basic,20160513_20-22,lxcNetworkDefault,"MSET (10 keys)","45495.91"
Remote,basic,20160513_20-22,physical,"PING_INLINE","73313.78"
Remote,basic,20160513_20-22,physical,"PING_BULK","71942.45"
Remote,basic,20160513_20-22,physical,"SET","72098.05"
Remote,basic,20160513_20-22,physical,"GET","73367.57"
Remote,basic,20160513_20-22,physical,"INCR","72674.41"
Remote,basic,20160513_20-22,physical,"LPUSH","69832.40"
Remote,basic,20160513_20-22,physical,"LPOP","70472.16"
Remote,basic,20160513_20-22,physical,"SADD","70771.41"
Remote,basic,20160513_20-22,physical,"SPOP","71684.59"
